State,gop_votes_2000,dem_votes_2000,total_votes_2000,gop_votes_2004,dem_votes_2004,total_votes_2004,dem_votes_2008,gop_votes_2008,total_votes_2008,dem_votes_2012,gop_votes_2012,total_votes_2012,dem_votes_2016,gop_votes_2016,total_votes_2016,
AL,941173,692611,1666272,1176394,693933,1883415,813479,1266546,2099819,795696,1255925,2074338,729547,1318255,2123372,
AK,167398,79004,284492,190889,111025,311808,123594,193841,326197,122640,164676,297625,116454,163387,318608,
AZ,781652,685341,1532016,1104294,893524,2012585,1034707,1230111,2293475,1025232,1233654,2299254,1161167,1252401,2573165,
AR,472940,422768,921781,572770,468631,1053694,422310,638017,1086617,394409,647744,1069468,380494,684872,1130635,
CA,4567429,5861203,10965856,5509826,6745485,12419857,8274473,5011781,13464495,7854285,4839958,13038547,8753788,4483810,14181595,
CO,883748,738227,1741368,1101255,1001732,2130330,1288576,1073589,2401361,1322998,1185050,2569217,1338870,1202484,2780247,
CT,561104,816659,1460177,693766,857434,1578662,997763,629428,1646783,905083,634892,1558960,897572,673215,1644920,
DE,137288,180068,327529,171660,200152,375190,255459,152374,412412,242584,165484,413921,235603,185127,443814,
DC,18073,171923,201894,21256,202970,227586,245800,17367,265853,267070,21381,293764,282830,12723,311268,
FL,2912790,2912253,5963070,3964522,3583544,7609810,4282074,4045624,8390744,4237756,4163447,8474179,4504975,4617886,9420039,
GA,1419720,1116230,2583208,1914254,1366149,3298790,1844137,2048744,3921693,1773827,2078688,3897839,1877963,2089104,4114732,
HI,137845,205286,367951,194184,231691,428989,325871,120566,453568,306658,121015,434697,266891,128847,428937,
ID,336937,138637,501615,409235,181098,597261,236440,403012,655032,212787,420911,652274,189765,409055,690255,
IL,2019421,2589026,4739935,2346608,2891989,5274727,3419673,2031527,5513635,3019512,2135216,5241179,3090729,2146015,5536424,
IN,1245836,901980,2199302,1479438,969011,2468002,1374039,1345648,2751054,1152887,1420543,2624534,1033126,1557286,2734958,
IA,634373,638517,1314395,751957,741898,1505814,828940,682379,1530386,822544,730617,1574738,653669,800983,1566031,
KS,622332,399276,1072216,736456,434993,1187709,514765,699655,1235801,440726,692634,1158833,427005,671018,1184402,
KY,872520,638923,1547106,1069439,712733,1795882,751985,1048462,1826620,679370,1087190,1797212,628854,1202971,1924149,
LA,927871,792344,1765656,1102169,820299,1943106,782989,1148275,1960761,809141,1152262,1994065,780154,1178638,2029032,
ME,286616,319951,651790,330201,396842,740748,421923,295273,731163,401306,292276,711053,715326,671154,1495672,
MD,813724,1143888,2021987,1024703,1334493,2384206,1629467,959862,2622549,1677844,971869,2698539,1677928,943169,2781446,
MA,878502,1616487,2698994,1071109,1803800,2905360,1904097,1108854,3080985,1921290,1188314,3161215,1995196,1090893,3325046,
MI,1953139,2170418,4232501,2313746,2479178,4839247,2872579,2048639,5001766,2564569,2115256,4730961,2268839,2279543,4799284,
MN,1109659,1168266,2438685,1346695,1445014,2825866,1573354,1275409,2900873,1546167,1320225,2926028,1367716,1322951,2944813,
MS,572844,404614,994184,684981,458094,1152145,554662,724597,1289865,562949,710746,1285584,485131,700714,1209357,
MO,1189924,1111138,2359892,1455713,1259171,2731364,1441911,1445814,2925205,1223796,1482440,2757323,1071068,1594511,2808605,
MT,240178,137126,410986,266063,173710,450434,231667,242763,490109,201839,267928,483932,177709,279240,497147,
NE,433850,231776,697132,512814,254328,777255,333319,452979,798444,302081,475064,790662,568940,991808,1688354,
NV,301575,279978,605655,418690,397190,825899,533736,412827,961581,531373,463567,1009148,539260,512058,1125385,
NH,273559,266348,567795,331237,340511,676227,384826,316534,707611,369561,329918,708399,348526,345790,744296,
NJ,1284173,1788850,3187226,1668003,1911430,3609691,2215422,1613207,3868237,2122786,1478088,3638499,2148278,1601933,3874046,
NM,286417,286783,598605,376930,370942,756304,472422,346832,830158,415335,335788,783757,385234,319667,798319,
NY,2403374,4107697,6821999,2962567,4314280,7448266,4610809,2409077,7590551,4018385,2145628,6652274,4556124,2819534,7721453,
NC,1631163,1257692,2914990,1961166,1525849,3498746,2142651,2128474,4296847,2178391,2270395,4493920,2189316,2362631,4741564,
ND,174852,95284,288256,196651,111052,312833,141278,168601,316621,124966,188320,322932,93758,216794,344360,
OH,2350363,2183628,4701998,2859764,2741165,5627903,2933388,2674491,5697927,2827621,2661407,5580831,2394164,2841005,5496487,
OK,744337,474276,1234229,959792,503966,1463758,502496,960165,1462661,443547,891325,1334872,420375,949136,1452992,
OR,713577,720342,1530549,866831,943163,1827826,1037291,738475,1814251,970488,754175,1775995,1002106,782403,2001336,
PA,2281127,2485967,4912185,2793847,2938095,5765764,3276363,2651812,5992384,2990274,2680434,5741490,2926441,2970733,6165478,
RI,130555,249508,409112,169046,259760,437134,296571,165391,471766,279677,157204,446049,252525,180543,464144,
SC,786892,566037,1383902,937974,661699,1615606,862449,1034896,1920969,865941,1071645,1964118,855373,1155389,2103027,
SD,190700,118804,316269,232584,149244,388215,170924,203054,381975,145039,210610,363815,117458,227721,370093,
TN,1061949,981720,2075753,1384375,1036477,2437319,1087437,1479178,2599749,960709,1462330,2456838,870695,1522925,2508027,
TX,3799639,2433746,6407637,4526917,2832704,7410749,3528633,4479328,8077795,3308124,4569843,7993851,3877868,4685047,8969226,
UT,515096,203053,766697,663742,241199,912728,327670,596030,942678,251813,740600,1017008,310676,515231,1131430,
VT,119775,149022,293794,121180,184067,312309,219262,98974,325046,199239,92698,299290,178573,95369,315067,
VA,1437490,1217290,2736640,1716959,1454742,3192894,1959532,1725005,3716905,1971820,1822522,3847243,1981473,1769443,3984631,
WA,1108864,1247652,2487433,1304894,1510201,2859084,1750848,1229216,3036878,1755396,1290670,3125516,1742718,1221747,3317019,
WV,336473,295497,648251,423778,326541,755887,303857,397466,713451,238230,417584,670556,188794,489371,714423,
WI,1237279,1242987,2598607,1478120,1489504,2997007,1677211,1262393,2976356,1620985,1407966,3071434,1382536,1405284,2976150,
WY,147947,60481,213726,167629,70776,242948,82868,164958,253137,69286,170962,249061,55973,174419,255849,